subject_id,best_val_uar,test_uar,train_samples,test_samples
sub01,46.666666666666664,0.0,144,3
sub02,71.66666666666667,42.22222222222222,138,9
sub03,79.16666666666666,75.0,142,5
sub04,76.29629629629629,100.0,144,3
sub05,66.66666666666666,60.0,140,7
sub06,25.0,0.0,143,4
sub07,64.58333333333333,20.0,142,5
sub08,64.58333333333334,0.0,146,1
sub09,56.666666666666664,30.0,137,10
sub11,25.0,0.0,143,4
sub12,75.0,53.333333333333336,136,11
sub13,77.5,0.0,145,2
sub14,56.25,0.0,144,3
sub15,64.28571428571428,66.66666666666666,144,3
sub16,50.0,50.0,144,3
sub17,52.5,64.16666666666666,116,31
sub19,100.0,44.44444444444444,136,11
sub20,53.75,0.0,145,2
sub21,56.25,100.0,146,1
sub22,43.75,0.0,145,2
sub23,53.333333333333336,44.44444444444444,139,8
sub24,73.21428571428572,0.0,144,3
sub25,87.5,41.666666666666664,142,5
sub26,88.54166666666666,88.88888888888889,136,11
